ID,Topic,Sentiment,Text,Timestamp,IngestedAt,TextLength
1747,CallOfDutyBlackopsColdWar,Irrelevant,"wow, thank you so much @ circlu for giving me 4 FREE Black Ops: Cold War beta codes on PS4 PC & XBOX!... he has more just tweet him for a code!!",2025-10-13 20:57:10,2025-10-13 20:57:20,144
1747,CallOfDutyBlackopsColdWar,Irrelevant,"wow, thank you so much @cirlsu for giving me 4 new Black Ops: Cold War beta codes on his PC & XBOX!.. . If he has more just tweet this for a code!!",2025-10-13 20:57:10,2025-10-13 20:57:20,147
1747,CallOfDutyBlackopsColdWar,Irrelevant,"wow, thank you so much @cirlsu for willingly giving into me 4 FREE Black AD Ops : Cold War 3D beta codes on your PS4 PC & Xbox XBOX!.... before he really has more needs just tweet him here for a code!!",2025-10-13 20:57:10,2025-10-13 20:57:20,201
1747,CallOfDutyBlackopsColdWar,Irrelevant,"wow, thank very so Mark @cirlsu for giving now 4 more Black Ops: Cold War email codes on PS4 PC & N!.... he has more<unk> tweet him for a code!!",2025-10-13 20:57:10,2025-10-13 20:57:20,144
1748,CallOfDutyBlackopsColdWar,Irrelevant,"Scump, Simp, Loony, Slacked",2025-10-13 20:57:10,2025-10-13 20:57:20,27
1748,CallOfDutyBlackopsColdWar,Irrelevant,"Scump, Simp, Loony, Slacked",2025-10-13 20:57:10,2025-10-13 20:57:20,27
1748,CallOfDutyBlackopsColdWar,Irrelevant,"Scump, Simp, Loony, Slacked",2025-10-13 20:57:10,2025-10-13 20:57:20,27
1748,CallOfDutyBlackopsColdWar,Irrelevant,"Scump, Simp, Loony, Sandwich",2025-10-13 20:57:10,2025-10-13 20:57:20,28
1748,CallOfDutyBlackopsColdWar,Irrelevant,"Scump, Miss Simp, Big Loony, Slacked",2025-10-13 20:57:10,2025-10-13 20:57:20,36
1748,CallOfDutyBlackopsColdWar,Irrelevant,"Scump, Deep, Hot, Slacked",2025-10-13 20:57:10,2025-10-13 20:57:20,25
1749,CallOfDutyBlackopsColdWar,Positive,Just give me the game already you beautiful man @DavidVonderhaar,2025-10-13 20:57:10,2025-10-13 20:57:20,66
1749,CallOfDutyBlackopsColdWar,Positive,Just give me the game already you beautiful man @ DavidVonderhaar,2025-10-13 20:57:10,2025-10-13 20:57:20,65
1749,CallOfDutyBlackopsColdWar,Positive,Just give me the game you're a beautiful person @ Davidderhaar,2025-10-13 20:57:10,2025-10-13 20:57:20,62
1749,CallOfDutyBlackopsColdWar,Positive,Just give me the game already This beautiful man @DavidVonderhaar,2025-10-13 20:57:10,2025-10-13 20:57:20,65
