ID,Topic,Sentiment,Text,Timestamp,IngestedAt,TextLength
13039,Xbox(Xseries),Positive,"Damn it! Microsoft is giving it its all when it comes to showcasing the new Xbox Series X, while Sony has not yet taken a look at theverge.com / 2020 / 3 / 16 / 2115....",2025-10-14 08:50:30,2025-10-14 08:50:40,169
13039,Xbox(Xseries),Positive,"Damn it! Microsoft is going all in, showing the new Xbox Series X, while Sony has not yet made a pip theverge.com / 2020 / 3 / 16 / 2115.... Like the guy from PlayStation, it sounds like a scream.",2025-10-14 08:50:30,2025-10-14 08:50:40,196
13039,Xbox(Xseries),Positive,"Damn! Microsoft is going very goose in showing off the new Xbox Series X while Sony hasn't made a peep theverge.com/2020/3/16/2115….. As a PlayStation guy, said thing<unk> certainly a screamer.",2025-10-14 08:50:30,2025-10-14 08:50:40,193
13039,Xbox(Xseries),Positive,"Damn! If Microsoft is going out all cool out in showing up off the new Xbox Entertainment Series X while Sony hasn't made a peep theverge. com / 2020 / 3 / 4 16 / 21 2115 ….. As on a PlayStation game guy, apparently this thing sounds like a screamer.",2025-10-14 08:50:30,2025-10-14 08:50:40,250
13039,Xbox(Xseries),Positive,"Damn! Microsoft by going all out in showing off Their next Xbox Series X while Sony won't made one peep theverge.com/2020/3/16/2115..... As a new guy, this thing seems like a good.",2025-10-14 08:50:30,2025-10-14 08:50:40,180
13040,Xbox(Xseries),Irrelevant,"Death Tales gif of the day,",2025-10-14 08:50:30,2025-10-14 08:50:40,29
13040,Xbox(Xseries),Irrelevant,"Death stories gif of the day,",2025-10-14 08:50:30,2025-10-14 08:50:40,29
13040,Xbox(Xseries),Irrelevant,"Death speaks of the present day,",2025-10-14 08:50:30,2025-10-14 08:50:40,32
13040,Xbox(Xseries),Irrelevant,"Death Tales gif won the day,",2025-10-14 08:50:30,2025-10-14 08:50:40,28
13040,Xbox(Xseries),Irrelevant,"Death Tree Tales gif of the day,",2025-10-14 08:50:30,2025-10-14 08:50:40,32
13040,Xbox(Xseries),Irrelevant,"Animal Tales gif of the day,",2025-10-14 08:50:30,2025-10-14 08:50:40,28
13041,Xbox(Xseries),Irrelevant,"\"It's like a very new and expensive fridge. \". . Xbox Series X is the quietest, most powerful Xbox ever",2025-10-14 08:50:30,2025-10-14 08:50:40,103
