ID,Topic,Sentiment,Text,Timestamp,IngestedAt,TextLength
5891,HomeDepot,Negative,Smh .,2025-10-14 20:45:30,2025-10-14 20:45:40,6
5891,HomeDepot,Negative,Smh.,2025-10-14 20:45:30,2025-10-14 20:45:40,4
5891,HomeDepot,Negative,Smh.,2025-10-14 20:45:30,2025-10-14 20:45:40,4
5891,HomeDepot,Negative,Smh –,2025-10-14 20:45:30,2025-10-14 20:45:40,5
5891,HomeDepot,Negative,11 Smh.,2025-10-14 20:45:30,2025-10-14 20:45:40,7
5891,HomeDepot,Negative,Smh.,2025-10-14 20:45:30,2025-10-14 20:45:40,4
5892,HomeDepot,Negative,This tweet didn’t age well...@HomeDepot didn’t install correctly and just woke up to our ceiling on the verge of collapse. . . Nothing like old water sitting in your walls and ceiling with a 3-month-old and 2-year-old at home. https://t.co/LFmVG6Dwvh,2025-10-14 20:45:30,2025-10-14 20:45:40,250
5892,HomeDepot,Negative,This tweet hasn't aged well... @ HomeDepot hasn't installed properly and just woke up to our ceiling on the verge of collapsing... Nothing like old water sitting in walls and ceilings with a 3-month-old and a 2-year-old at home. https: / / t.co / LFmVG6Dwvh,2025-10-14 20:45:30,2025-10-14 20:45:40,257
5892,HomeDepot,Negative,This tweet didn't age well... @ HomeDepot didn't set it right and just woke up to our ceiling on the verge of collapse... Nothing like the old water sitting in your walls and ceiling with your 3 month and 2 year old kids at home.,2025-10-14 20:45:30,2025-10-14 20:45:40,229
5892,HomeDepot,Negative,This tweet didn’t go well...@HomeDepot didn’t install correctly and just got up to our ceiling on the verge to collapse. (. Nothing like boiling water sitting in your walls and ceiling with a 3-month-old or 2-year-old at home. https://t.co/LFmVG6Dwvh],2025-10-14 20:45:30,2025-10-14 20:45:40,251
5892,HomeDepot,Negative,This tweet didn ’ ″ t age well... @HomeDepot didn ’ t install in correctly and just just woke up to our ceiling on the verge of collapse... Nothing like old water sitting in all your walls and ceiling with maybe a mere 3 - 12 month - younger old and 2 - 3 year - old out at home. https://t.co/LFmVG6Dwvh ],2025-10-14 20:45:30,2025-10-14 20:45:40,305
5892,HomeDepot,Negative,This would not age appropriately...@HomeDepot didn’t install correctly and just woke from hanging our ceiling on a edge of collapse... Nothing fancy old water sitting in your walls and ceiling with a 3-month-old and 2-year-old at it. https://t.co/LFmVG6Dwvh],2025-10-14 20:45:30,2025-10-14 20:45:40,258
5893,HomeDepot,Positive,See you tomorrow morning at Home Depot helped customers people outside,2025-10-14 20:45:30,2025-10-14 20:45:40,70
5893,HomeDepot,Positive,See you tomorrow morning at Home Depot helped customers people outside,2025-10-14 20:45:30,2025-10-14 20:45:40,70
5893,HomeDepot,Positive,See you tomorrow morning at the Home Depot,2025-10-14 20:45:30,2025-10-14 20:45:40,42
5893,HomeDepot,Positive,See If tomorrow morning at Home Depot helped customers people outside,2025-10-14 20:45:30,2025-10-14 20:45:40,69
5893,HomeDepot,Positive,See you tomorrow morning at Home Home Home Depot helped customers people outside,2025-10-14 20:45:30,2025-10-14 20:45:40,80
5893,HomeDepot,Positive,See you Saturday morning at Home Depot helped customers people outside,2025-10-14 20:45:30,2025-10-14 20:45:40,70
5894,HomeDepot,Positive,"$4,600 Tuff Shed Sold at the Firestone Home Depot nice work Firestone!!! @mlapp0702 @EricCampbellDSM @BrianTUFFSHED @TuffShedJR1 pic.twitter.com/sky5esZSlR",2025-10-14 20:45:30,2025-10-14 20:45:40,155
5894,HomeDepot,Positive,"$4,600 Tuff Shed Sold at the Firestone Home Depot nice work Firestone!!! @ mlapp0702 @ EricCampbellDSM @ BrianTUFFSHED @ TuffShedJR1 pic.twitter.com / sky5esZSlR",2025-10-14 20:45:30,2025-10-14 20:45:40,161
