ID,Topic,Sentiment,Text,Timestamp,IngestedAt,TextLength
4764,Google,Irrelevant,"Our team is trying to determine which is the greatest challenge: working from home with toddlers or teenagers? those of us with canine co-workers only are the clear winners). Today in toddler-world, our guest-worker ended a Google project by throwing a Duplo at our laptop<unk>",2025-10-14 08:51:20,2025-10-14 08:51:30,277
4764,Google,Irrelevant,"Our team manager is desperately trying to determine which thing is the greater main challenge : working from home with healthy toddlers or teenagers? ( Those of us with canine blood co - workers only are the clear winners ). 11 Today in toddler - world, with our co - worker ended up a Google Meet by throwing her a Duplo at our laptop.",2025-10-14 08:51:20,2025-10-14 08:51:30,336
4764,Google,Irrelevant,"the team is trying we determine which is the greater success: home from home with toddlers or teenagers? (Those among us with canine co-workers only are the clear winners). Today in smartphone-world, our co-worker won a Google Meet by leaving a Duplo at its laptop.",2025-10-14 08:51:20,2025-10-14 08:51:30,265
4765,Google,Neutral,the Google Fiber connection is averaging 595.4 Mbit/s down and 551.2 Mbit/s up according to speedtest.net.  . speedtest.net,2025-10-14 08:51:20,2025-10-14 08:51:30,123
4765,Google,Neutral,"According to speedtest.net., Google's fiber-optic connection averages 595.4 Mbit / s down and 551.2 Mbit / s up. speedtest.net",2025-10-14 08:51:20,2025-10-14 08:51:30,126
4765,Google,Neutral,"According to speedtest.net., the average speed of Google Fiber connection declines by 595.4 Mbit / s and increases by 551.2 Mbit / s.",2025-10-14 08:51:20,2025-10-14 08:51:30,133
4765,Google,Neutral,the Google Fiber connection is averaging 595.4 MB/s slow and 505.2 Mbit/s up according to speedtest.net. . speedtest.net,2025-10-14 08:51:20,2025-10-14 08:51:30,120
4765,Google,Neutral,However the Google Fiber connection density is averaging 595. 75 4 per Mbit / s down and 551. 2 Mbit / so s up according to speedtest. per net.. speedtest. com net,2025-10-14 08:51:20,2025-10-14 08:51:30,163
4765,Google,Neutral,4 Google Fiber connection is averaging 595.4 MP/s through and 551.2 Mbit/s up according or the.net.. speedtest.net,2025-10-14 08:51:20,2025-10-14 08:51:30,114
4766,Google,Negative,Please hear us out.. . Hi @Google.  . We noticed that  . @weareoneEXO,2025-10-14 08:51:20,2025-10-14 08:51:30,69
4766,Google,Negative,Please hear us... Hello @ Google.. We noticed. @ weareoneEXO,2025-10-14 08:51:20,2025-10-14 08:51:30,60
4766,Google,Negative,Please hear us out... Hi @ Google.. We noticed that. @ weareoneEXO,2025-10-14 08:51:20,2025-10-14 08:51:30,66
4766,Google,Negative,Please chill us out.. - Hi @Google. . We noticed that . @weareoneEXO,2025-10-14 08:51:20,2025-10-14 08:51:30,68
4766,Google,Negative,And Please hear right us out... Hi @Google.. by We noticed that. By @weareoneEXO,2025-10-14 08:51:20,2025-10-14 08:51:30,80
4766,Google,Negative,Please hear us in... Not everyone.. We noticed that. @Google,2025-10-14 08:51:20,2025-10-14 08:51:30,60
4767,Google,Neutral,Do You Want To Succeed? I Will Provide You Complete Google Campaign Solution..  . . Visit My Proposal: bit.ly/2EiqkA9,2025-10-14 08:51:20,2025-10-14 08:51:30,117
4767,Google,Neutral,Want to succeed? I will offer you a complete Google campaign solution... Visit my suggestion: bit.ly / 2EiqkA9,2025-10-14 08:51:20,2025-10-14 08:51:30,110
4767,Google,Neutral,I will provide you with a Google Campaign Solution... Visit My Offer: bit.ly / 2EiqkA9,2025-10-14 08:51:20,2025-10-14 08:51:30,86
4767,Google,Neutral,Do You Want To Succeed? I can Provide You With Google Campaign Solution.. .. See My Proposal: bit.ly/2EiqkA9,2025-10-14 08:51:20,2025-10-14 08:51:30,108
4767,Google,Neutral,Do You Not Want me To Succeed? I Know Will Provide of You the Complete Google Mobile Campaign Solution.... Visit My Proposal : via bit. s ly / 2EiqkA9,2025-10-14 08:51:20,2025-10-14 08:51:30,150
4767,Google,Neutral,Do That Would To Succeed? Join Here Provide You my Google Campaign Solution.... Visit My Proposal: bit.ly/2EiqkA9,2025-10-14 08:51:20,2025-10-14 08:51:30,113
