ID,Topic,Sentiment,Text,Timestamp,IngestedAt,TextLength
76,Amazon,Neutral,"Just got the kiddos backpacks ordered today. Click below to get some great ideas 4 school & other things needed 4 a successful school year!. *my amazon affiliate link, doesn't cost you anything, if you buy something I'll get a commission. .  amzn.to/3glkyiE via @amazon",2025-10-14 20:43:20,2025-10-14 20:43:30,269
76,Amazon,Neutral,"I just ordered the Kiddos backpacks, click below to get some great ideas, 4 schools & other things needed 4 for a successful school year! * My Amazon affiliate link doesn't cost you anything, if you buy something I get a commission... amzn.to / 3glkyiE via @ amazon",2025-10-14 20:43:20,2025-10-14 20:43:30,265
76,Amazon,Neutral,"Click below to get some great ideas 4 school & other things needed 4 a successful school year!. * my amazon affiliate link, doesn't cost you anything, if you buy something I'll get a commission.. amzto / 3glkyiE via @ amazon",2025-10-14 20:43:20,2025-10-14 20:43:30,224
76,Amazon,Neutral,"Just got the kiddos backpacks ordered today. Click below to get some great ideas 4 school & other things needed 4 a successful next year!. an amazon affiliate link, doesn't cost them anything, if you buy something We get a commission. *  img.to/3glkyiE via @amazon",2025-10-14 20:43:20,2025-10-14 20:43:30,264
76,Amazon,Neutral,"a Just got off the kiddos backpacks ordered extra today. A Click below to get some great ideas 4 for school & other things you needed 4 a successful school year!. * in my amazon phone affiliate link, doesn't actually cost you anything, if you buy something I'll get a commission.. amzn. is to / 3glkyiE via @amazon",2025-10-14 20:43:20,2025-10-14 20:43:30,314
76,Amazon,Neutral,"Just got the kiddos backpacks ordered today. login below to post some help ideas 4 school to other things needed 4 a successful school year!. *my amazon affiliate is, doesn't sell you anything, if you buy something I'll email the coupon.. amzn.to/3glkyiE via mine",2025-10-14 20:43:20,2025-10-14 20:43:30,263
77,Amazon,Irrelevant,Social distancing can be sexy!,2025-10-14 20:43:20,2025-10-14 20:43:30,30
77,Amazon,Irrelevant,Social distance can be sexy!,2025-10-14 20:43:20,2025-10-14 20:43:30,28
77,Amazon,Irrelevant,Social distancing can be sexual!,2025-10-14 20:43:20,2025-10-14 20:43:30,32
77,Amazon,Irrelevant,Social distancing can be effective!,2025-10-14 20:43:20,2025-10-14 20:43:30,35
77,Amazon,Irrelevant,Social distancing ways can be sexy!,2025-10-14 20:43:20,2025-10-14 20:43:30,35
77,Amazon,Irrelevant,Social distancing can seem sexy!,2025-10-14 20:43:20,2025-10-14 20:43:30,32
78,Amazon,Negative,Amazon Basics or Amazon Recommended products have a bad track record in my opinion. 4/5 items broke conveniently the month after their warranty expired.,2025-10-14 20:43:20,2025-10-14 20:43:30,154
78,Amazon,Negative,Amazon Basics or Amazon Recommended Products have a poor track record in my opinion. 4 / 5 items broke conveniently one month after the warranty expired.,2025-10-14 20:43:20,2025-10-14 20:43:30,153
78,Amazon,Negative,"Amazon or Amazon Readed products, in my opinion, have a bad reputation.",2025-10-14 20:43:20,2025-10-14 20:43:30,71
