ID,Topic,Sentiment,Text,Timestamp,IngestedAt,TextLength
9153,Nvidia,Neutral,"Winning benchmark bakeoffs win is great for marketing, but remember performance! = performance / price. As in an example, a modified 1U @Dell C4140 with 4 or @nvidia 300 Tesla GT 4140 completes training and RESNET - 1 50 in 154 minutes, ~ 300x longer than one TPUv3 but much much smaller = cheaper.. page cloud. google. com / blog / products / …",2025-10-14 20:46:50,2025-10-14 20:47:00,345
9153,Nvidia,Neutral,"great benchmark bakeoffs is great for marketing, but remember these!= performance/price. As an example, using Gen C 8 with 4 @Dell 9 systems completes training RESNET-50 in 59 minutes, ~300x longer than TPUv3 but much much more=cheaper.. cloud.google.com/blog/products/...",2025-10-14 20:46:50,2025-10-14 20:47:00,272
9154,Nvidia,Positive,nan,2025-10-14 20:46:50,2025-10-14 20:47:00,3
9154,Nvidia,Positive,It is not the first time that the EU Commission has taken such a step.,2025-10-14 20:46:50,2025-10-14 20:47:00,70
9154,Nvidia,Positive,"At the same time, despite the fact that there are currently some 100 million people living below the poverty line, most of them do not have access to health services and do not have access to health care, while most of them do not have access to health care.",2025-10-14 20:46:50,2025-10-14 20:47:00,258
9154,Nvidia,Positive,nan,2025-10-14 20:46:50,2025-10-14 20:47:00,3
9154,Nvidia,Positive,nan,2025-10-14 20:46:50,2025-10-14 20:47:00,3
9154,Nvidia,Positive,nan,2025-10-14 20:46:50,2025-10-14 20:47:00,3
9155,Nvidia,Neutral,Such bullshit that nvidia’s own site wasn’t selling the 3080 and yet other shopping sites where like wtf and it’s was already sold out within 20 mins,2025-10-14 20:46:50,2025-10-14 20:47:00,149
9155,Nvidia,Neutral,Such crap that nvidia's own site did not sell the 3080 and other shopping sites like wtf and it's already sold out within 20 minutes.,2025-10-14 20:46:50,2025-10-14 20:47:00,133
9155,Nvidia,Neutral,Such crap that nvidia's own website didn't sell 3080 and other shopping sites where it's like wtf and it's already sold out in 20 minutes,2025-10-14 20:46:50,2025-10-14 20:47:00,137
9155,Nvidia,Neutral,Such bullshit that nvidia’s own store wasn’t selling the 3080 and yet other shopping sites where selling wtf and it’s was already pulled out within 20 mins,2025-10-14 20:46:50,2025-10-14 20:47:00,155
9155,Nvidia,Neutral,10 Such bullshit that nvidia ’ s their own shopping site really wasn ’ t only selling the 3080 and yet other shopping sites where more like wtf and it ’ s was both already sold out within 20 mins,2025-10-14 20:46:50,2025-10-14 20:47:00,195
9155,Nvidia,Neutral,constant bullshit that nvidia’s own site wasn’t selling its 3080 and yet other review sites reacted like wtf oh it’s was already sold out within 30 mins,2025-10-14 20:46:50,2025-10-14 20:47:00,152
9156,Nvidia,Positive,And there it is. Wow.,2025-10-14 20:46:50,2025-10-14 20:47:00,21
9156,Nvidia,Positive,And there it is. Wow.,2025-10-14 20:46:50,2025-10-14 20:47:00,21
9156,Nvidia,Positive,And here it is.,2025-10-14 20:46:50,2025-10-14 20:47:00,15
9156,Nvidia,Positive,And that it is. Wow.,2025-10-14 20:46:50,2025-10-14 20:47:00,20
9156,Nvidia,Positive,And there it is. ‖ Wow.,2025-10-14 20:46:50,2025-10-14 20:47:00,23
9156,Nvidia,Positive,And there some is. Wow.,2025-10-14 20:46:50,2025-10-14 20:47:00,23
9157,Nvidia,Positive,"We are very excited to have joined NVIDIA’s Inception program. As a leading technology provider, NVIDIA plays an important role in the data science community. hubs.ly/H0rnlQY0 https://t.co/qcgUuSSp2i",2025-10-14 20:46:50,2025-10-14 20:47:00,199
9157,Nvidia,Positive,"We are very pleased to have joined NVIDIA's Inception program. As a leading technology provider, NVIDIA plays an important role in data science. hubs.ly / H0rnlQY0 https: / / t.co / qcgUuSSp2i",2025-10-14 20:46:50,2025-10-14 20:47:00,192
9157,Nvidia,Positive,"As a leading technology provider, NVIDIA plays an important role in the data science community. hubs.ly / H0lQY0 https: / / co / qcgUuSSp2i",2025-10-14 20:46:50,2025-10-14 20:47:00,139
9157,Nvidia,Positive,"We are very excited to have joined NVIDIA’s Inception program. As a cloud technology provider, NVIDIA has an integral position in the data science community. hubs.ly/H0rnlQY0 https://t.co/qcgUuSSp2i]",2025-10-14 20:46:50,2025-10-14 20:47:00,199
9157,Nvidia,Positive,"We also are very excited... to have you joined NVIDIA research ’ s Open Inception program. As a leading technology provider, our NVIDIA plays an important critical role in protecting the data science community. Radio hubs. ly / H0rnlQY0... https://t.co/qcgUuSSp2i ]",2025-10-14 20:46:50,2025-10-14 20:47:00,265
9157,Nvidia,Positive,"audiences are very happy they have completed NVIDIA’s Inception program. As a leading technology provider, NVIDIA plays an increasing playing in the art science community. hubs.ly/H0rnlQY0 https://t.co/qcgUuSSp2i]",2025-10-14 20:46:50,2025-10-14 20:47:00,213
9161,Nvidia,Negative,Been almost 2 weeks like this. No update from either @disneyplus or @NVIDIASHIELD @nvidia. Can't wait to get the new @Roku Ultra. pic.twitter.com/ZYWZ2swPXq,2025-10-14 20:46:50,2025-10-14 20:47:00,156
9161,Nvidia,Negative,No update from @ disneyplus or @ NVIDIASHIELD @ nvidia. I can't wait to get the new @ Roku Ultra. pic.twitter.com / ZYWZ2swPXq,2025-10-14 20:46:50,2025-10-14 20:47:00,126
9161,Nvidia,Negative,Almost 2 weeks have passed. No updates from @ disneypoint or @ NVIDIASHIELD @ nvidia. Can't wait for the new @ Roku Ultra. pic.wikipedia.com / ZYWZ2swPXq,2025-10-14 20:46:50,2025-10-14 20:47:00,153
9161,Nvidia,Negative,Been almost 2 weeks like this. No update from either RhandlerR or RhandlerR RhandlerR. Can't wait to get the new RhandlerR Ultra. pic.twitter.com/ZYWZ2swPXq,2025-10-14 20:46:50,2025-10-14 20:47:00,156
9161,Nvidia,Negative,and Been almost 2 weeks like this. No update from either RhandlerR or RhandlerR RhandlerR. Can't wait to get the new RhandlerR Ultra. pic.twitter.com/ZYWZ2swPXq,2025-10-14 20:46:50,2025-10-14 20:47:00,160
9161,Nvidia,Negative,<unk>,2025-10-14 20:46:50,2025-10-14 20:47:00,5
9162,Nvidia,Positive,Anything for this beast,2025-10-14 20:46:50,2025-10-14 20:47:00,23
9162,Nvidia,Positive,Everything for this beast,2025-10-14 20:46:50,2025-10-14 20:47:00,25
9162,Nvidia,Positive,Whatever it means,2025-10-14 20:46:50,2025-10-14 20:47:00,17
9162,Nvidia,Positive,Anything for this game,2025-10-14 20:46:50,2025-10-14 20:47:00,22
9162,Nvidia,Positive,Anything for seeing this beast,2025-10-14 20:46:50,2025-10-14 20:47:00,30
9162,Nvidia,Positive,Anything for a beast,2025-10-14 20:46:50,2025-10-14 20:47:00,20
9163,Nvidia,Negative,Amazing how much cooler my laptop (MBP 15 2016) is when disconnected from external monitor - integrated intel graphics instead of nvidia dedicated.,2025-10-14 20:46:50,2025-10-14 20:47:00,147
9163,Nvidia,Negative,Amazing how much cooler my laptop (MBP 15 2016) is when disconnected from the external monitor - built-in Intel graphics instead of Nvidia-dedicated.,2025-10-14 20:46:50,2025-10-14 20:47:00,149
9163,Nvidia,Negative,It's amazing how much steeper my laptop (MBP 15 2016) is when it's disconnected from an external monitor - Intel's built-in graphics instead of a dedicated nvidia.,2025-10-14 20:46:50,2025-10-14 20:47:00,163
9163,Nvidia,Negative,Amazing ly much cooler my laptop (MBP 15 2016) is when disconnected from external monitor - integrated intel graphics instead of completely dedicated.,2025-10-14 20:46:50,2025-10-14 20:47:00,150
9163,Nvidia,Negative,Amazing by how much cooler my laptop ( 18 MBP December 15 2016 ) actually is when disconnected from an external monitor - integrated intel virtual graphics instead of nvidia dedicated.,2025-10-14 20:46:50,2025-10-14 20:47:00,184
9163,Nvidia,Negative,Amazing how much brighter our laptop (MBP x 2016) is when disconnected from external monitor - integrated discrete graphics instead to nvidia dedicated.,2025-10-14 20:46:50,2025-10-14 20:47:00,152
