ID,Topic,Sentiment,Text,Timestamp,IngestedAt,TextLength
1475,Battlefield,Negative,"No, of course not",2025-10-14 20:45:10,2025-10-14 20:45:20,19
1475,Battlefield,Negative,"No, of course not",2025-10-14 20:45:10,2025-10-14 20:45:20,17
1475,Battlefield,Negative,"No, of course not.",2025-10-14 20:45:10,2025-10-14 20:45:20,18
1475,Battlefield,Negative,"No, of course …",2025-10-14 20:45:10,2025-10-14 20:45:20,15
1475,Battlefield,Negative,"No, of hell course not",2025-10-14 20:45:10,2025-10-14 20:45:20,22
1475,Battlefield,Negative,"No, the course not",2025-10-14 20:45:10,2025-10-14 20:45:20,18
1476,Battlefield,Irrelevant,Another day I got banned from a,2025-10-14 20:45:10,2025-10-14 20:45:20,33
1476,Battlefield,Irrelevant,"On another day, I was banned from my house.",2025-10-14 20:45:10,2025-10-14 20:45:20,43
1476,Battlefield,Irrelevant,"On another day, I was banned",2025-10-14 20:45:10,2025-10-14 20:45:20,28
1476,Battlefield,Irrelevant,Another day I got banned from travelling,2025-10-14 20:45:10,2025-10-14 20:45:20,40
1476,Battlefield,Irrelevant,Another particular day I got banned from a,2025-10-14 20:45:10,2025-10-14 20:45:20,42
1476,Battlefield,Irrelevant,Another year I got banned from a,2025-10-14 20:45:10,2025-10-14 20:45:20,32
1477,Battlefield,Negative,"@EAAccess @EAHelp on Xbox one and I can no longer load EA Access app, and Battlefield V is telling me my account is invalid. Tried hard reset and rebooting the router, please help!",2025-10-14 20:45:10,2025-10-14 20:45:20,180
1477,Battlefield,Negative,"@ EAAccess @ EAHelp on Xbox One and I can no longer download the EA Access app, and Battlefield V tells me that my account is invalid.",2025-10-14 20:45:10,2025-10-14 20:45:20,134
1477,Battlefield,Negative,"@ EAAccess @ EAHelp on Xbox One and I can no longer load EA Access app, and Battlefield V is telling me my account is invalid.",2025-10-14 20:45:10,2025-10-14 20:45:20,126
1477,Battlefield,Negative,"@EAAccess @EAHelp on Xbox one... I can no longer load EA Access app, and Battlefield V is telling me my account seems invalid. Tried reset reset and rebooting the application, please help!",2025-10-14 20:45:10,2025-10-14 20:45:20,188
1477,Battlefield,Negative,"@EAAccess @EAHelp on an Xbox one and currently I can no longer load EA Home Access app, however and Battlefield V 2 is up telling me my account is invalid. Tried hard reset and rebooting off the email router, please please help!",2025-10-14 20:45:10,2025-10-14 20:45:20,228
1477,Battlefield,Negative,"@EAAccess @EAHelp my Xbox 1 and game can no longer load EA Access app, and Battlefield what is on me to account is invalid. Tried hard reset and rebooting the router, got help!",2025-10-14 20:45:10,2025-10-14 20:45:20,176
1478,Battlefield,Neutral,The Russian bots are ignoring Battlefield 1,2025-10-14 20:45:10,2025-10-14 20:45:20,43
1478,Battlefield,Neutral,The Russian bots ignore Battlefield 1,2025-10-14 20:45:10,2025-10-14 20:45:20,37
1478,Battlefield,Neutral,Russian bots are ignorant Battlefield 1,2025-10-14 20:45:10,2025-10-14 20:45:20,39
1478,Battlefield,Neutral,The Russian bots for ignoring Battlefield 1,2025-10-14 20:45:10,2025-10-14 20:45:20,43
1478,Battlefield,Neutral,The Russian bots are ignoring in Battlefield 1,2025-10-14 20:45:10,2025-10-14 20:45:20,46
1478,Battlefield,Neutral,that Russian bots are ignoring Battlefield 1,2025-10-14 20:45:10,2025-10-14 20:45:20,44
1479,Battlefield,Negative,Battlefield 4 was my favorite,2025-10-14 20:45:10,2025-10-14 20:45:20,29
1479,Battlefield,Negative,Battlefield 4 was my favorite,2025-10-14 20:45:10,2025-10-14 20:45:20,29
1479,Battlefield,Negative,Battlefield 4 was my favorite,2025-10-14 20:45:10,2025-10-14 20:45:20,29
1479,Battlefield,Negative,Battlefield 4 was my highlight,2025-10-14 20:45:10,2025-10-14 20:45:20,30
1479,Battlefield,Negative,Battlefield 4 Bad was my favorite,2025-10-14 20:45:10,2025-10-14 20:45:20,33
1479,Battlefield,Negative,Battlefield 4 was my high,2025-10-14 20:45:10,2025-10-14 20:45:20,25
1480,Battlefield,Irrelevant,A ban for Battlefield 4 player xHalfdaNx has occurred SEE DETAILS: bf4db.com/player/ban/366…,2025-10-14 20:45:10,2025-10-14 20:45:20,92
