ID,Topic,Sentiment,Text,Timestamp,IngestedAt,TextLength
7922,MaddenNFL,Negative,Proud of One.,2025-10-14 20:46:20,2025-10-14 20:46:30,13
7923,MaddenNFL,Positive,Words cannot describe how grateful I am. Thank you to @2BCProductions for the raid today - of 420 people . - Thanks everyone for hanging and the positive vibes it means a lot. Back at it tomorrow with more @EAMaddenNFL VS and @EASPORTSNHL VS tournament action. https://t.co/ODTY4WTMgg,2025-10-14 20:46:20,2025-10-14 20:46:30,284
7923,MaddenNFL,Positive,Words can't describe how grateful I am. Thanks to @ 2BCProductions for the raid today - from 420 people. - Thanks to everyone for hanging out and the positive vibe it means a lot. Back tomorrow with more @ EAMaddenNFL VS and @ EASPORTSNHL VS tournament action. https: / / t.co / ODTY4WTMgg,2025-10-14 20:46:20,2025-10-14 20:46:30,289
7923,MaddenNFL,Positive,Words can't describe how grateful I am. Thank you @ 2BCProductions for today's raid - of 420 people. - Thank you everyone for hanging up and the positive emotions mean a lot.,2025-10-14 20:46:20,2025-10-14 20:46:30,174
7923,MaddenNFL,Positive,Words cannot share how grateful I am. Thank you to @2BCProductions for the raid reward - of 420 people :) - Thanks everyone for hanging and the warm vibes which means a lot. Back at it tomorrow with more @EAMaddenNFL VS and World VS tournament action. https://t.co/ODTY4WTMgg],2025-10-14 20:46:20,2025-10-14 20:46:30,276
7923,MaddenNFL,Positive,Words you cannot describe how much grateful this I am. Thank all you to @2BCProductions for managing the raid back today - of 420 people. - Thanks everyone for hanging and the positive vibes of it means a lot. By Back at it is tomorrow with one more @EAMaddenNFL VS and @EASPORTSNHL VS tournament action. https://t.co/ODTY4WTMgg ],2025-10-14 20:46:20,2025-10-14 20:46:30,330
7923,MaddenNFL,Positive,Words cannot describe how grateful it am. my god no @2BCProductions for the raid today - of 420 people. - but everyone for hanging and the positive vibes the means inside world. Back at it tomorrow with more guild action and @EAMaddenNFL VS tournament action. https://t.co/ODTY4WTMgg],2025-10-14 20:46:20,2025-10-14 20:46:30,284
7924,MaddenNFL,Positive,Throw out of sack mechanic looks perfectly fine  . . store.playstation.com/,2025-10-14 20:46:20,2025-10-14 20:46:30,76
7924,MaddenNFL,Positive,Get out of the bag mechanic looks pretty good.. store.playstation.com /,2025-10-14 20:46:20,2025-10-14 20:46:30,71
7924,MaddenNFL,Positive,A miscarriage from a bag looks perfect... store.playstation.com /,2025-10-14 20:46:20,2025-10-14 20:46:30,65
7924,MaddenNFL,Positive,Throw out of sack mechanic looks perfectly understandable .. store.playstation.com/,2025-10-14 20:46:20,2025-10-14 20:46:30,83
7924,MaddenNFL,Positive,The Throw on out of sack mechanic still looks perfectly fine.. store. playstation. com /,2025-10-14 20:46:20,2025-10-14 20:46:30,88
7924,MaddenNFL,Positive,My back of hand mechanic looks perfectly fine.. store.playstation.com/,2025-10-14 20:46:20,2025-10-14 20:46:30,70
7925,MaddenNFL,Positive,Thank you @EAMaddenNFL!! . . New TE Austin Hooper in the ORANGE & BROWN!! . .  . .  pic.twitter.com/GRg4xzFKOn,2025-10-14 20:46:20,2025-10-14 20:46:30,110
7925,MaddenNFL,Positive,Thank you @ EAMaddenNFL!!... New TE Austin Hooper at ORANGE & BROWN!!..... pic.twitter.com / GRg4xzFKOn,2025-10-14 20:46:20,2025-10-14 20:46:30,103
7925,MaddenNFL,Positive,Thank you @ EAMaddenNFL!!.. New TE Austin Hooper in the ORANGE & BROWN!!.... pic.facebook.com / GRg4xzFKOn,2025-10-14 20:46:20,2025-10-14 20:46:30,106
7925,MaddenNFL,Positive,Thank you RhandlerR!! . . New TE Austin Hooper in the ORANGE & BROWN!! . .  . .  pic.twitter.com/GRg4xzFKOn,2025-10-14 20:46:20,2025-10-14 20:46:30,107
7925,MaddenNFL,Positive,the Thank you RhandlerR!! . . New TE Austin Hooper in the ORANGE & BROWN!! . .  . .  pic.twitter.com/GRg4xzFKOn,2025-10-14 20:46:20,2025-10-14 20:46:30,111
7925,MaddenNFL,Positive,really,2025-10-14 20:46:20,2025-10-14 20:46:30,6
7926,MaddenNFL,Positive,Hollywood gonna beat the brakes off that man .  how many do overs do the Bucs get?,2025-10-14 20:46:20,2025-10-14 20:46:30,82
7926,MaddenNFL,Positive,"Hollywood is going to put the brakes on this man, how many overtime do the Bucs get?",2025-10-14 20:46:20,2025-10-14 20:46:30,84
7926,MaddenNFL,Positive,Hollywood is going to fend off this man. How many overs does Buffett do?,2025-10-14 20:46:20,2025-10-14 20:46:30,72
7926,MaddenNFL,Positive,Hollywood gonna beat the brakes stop that man.  how many do overs do some Bucs get?,2025-10-14 20:46:20,2025-10-14 20:46:30,83
7926,MaddenNFL,Positive,Hollywood gonna beat all the damn brakes off that man. how fucking many do overs then do the Bucs get?,2025-10-14 20:46:20,2025-10-14 20:46:30,102
7926,MaddenNFL,Positive,Hollywood gonna beat the brakes off that man. Too many power overs do the Bucs have?,2025-10-14 20:46:20,2025-10-14 20:46:30,84
7927,MaddenNFL,Neutral,@EAMaddenNFL @EA I am glad we are getting some patches for the game especially franchise. We need more. Even bringing back previously available functions( i.e. stadium creator) from Madden games of the past. I hope you guys make enough improvements to make this game feel worth it,2025-10-14 20:46:20,2025-10-14 20:46:30,280
7927,MaddenNFL,Neutral,"@ EAMaddenNFL @ EA I'm glad we're getting some patches for the game, especially franchises. We need more. Even a return to previously available features (i.e. stadium builders) from Madden games of the past. I hope you guys make enough improvements to make this game worth it.",2025-10-14 20:46:20,2025-10-14 20:46:30,276
7927,MaddenNFL,Neutral,"@ EAMaddenNFL @ EA I'm glad we're getting some fixes for the game, especially the franchise.",2025-10-14 20:46:20,2025-10-14 20:46:30,92
7927,MaddenNFL,Neutral,@EAMaddenNFL @EA - am glad we are getting some patches for the game especially franchise. We need more. Including bringing back previously available functions( i.e. stadium creator) from Madden games of the past. I hope you guys make enough patches to help this campaign feel worth it,2025-10-14 20:46:20,2025-10-14 20:46:30,284
7927,MaddenNFL,Neutral,The @EAMaddenNFL @EA I am glad too we are getting some patches needed for the game especially franchise. We need more. Even bringing back previously available functions ( i. e. stadium creator ) from Madden World games of from the past. I hope you team guys make enough programming improvements necessary to make make this game feel more worth it,2025-10-14 20:46:20,2025-10-14 20:46:30,346
