ID,Topic,Sentiment,Text,Timestamp,IngestedAt,TextLength
5005,GrandTheftAuto(GTA),Positive,Grand Theft 11 was educational after all.,2025-10-13 21:10:40,2025-10-13 21:10:50,41
5005,GrandTheftAuto(GTA),Positive,Grand Theft Auto was educational experience after all.,2025-10-13 21:10:40,2025-10-13 21:10:50,54
5005,GrandTheftAuto(GTA),Positive,Grand Theft Auto are educational after all.,2025-10-13 21:10:40,2025-10-13 21:10:50,43
5006,GrandTheftAuto(GTA),Irrelevant,For Sale: 1991 Pontiac Firebird Trans Am GTA ebay.com/itm/1991-Ponti… <--More,2025-10-13 21:10:40,2025-10-13 21:10:50,79
5006,GrandTheftAuto(GTA),Irrelevant,For sale: 1991 Pontiac Firebird Trans Am GTA ebay.com / itm / 1991-Ponti... < --More,2025-10-13 21:10:40,2025-10-13 21:10:50,84
5006,GrandTheftAuto(GTA),Irrelevant,For sale: 1991 Pontiac Firebird Trans Am GTA ebay.com / itm / 1991-Ponti...,2025-10-13 21:10:40,2025-10-13 21:10:50,75
5006,GrandTheftAuto(GTA),Irrelevant,For Sale: 1991 Pontiac Firebird Sport Am GTA youtube.com/itm/1991-Ponti… <--More,2025-10-13 21:10:40,2025-10-13 21:10:50,80
5006,GrandTheftAuto(GTA),Irrelevant,For Sale : 1991 Pontiac Herald Firebird Trans Am GTA ebay. com / 2012 itm / 1991 - with Ponti to … < - - or More,2025-10-13 21:10:40,2025-10-13 21:10:50,112
5006,GrandTheftAuto(GTA),Irrelevant,After Sale: 1996 Pontiac Firebird Trans Am AT ebay.com/itm/1991-Ponti... and--More,2025-10-13 21:10:40,2025-10-13 21:10:50,82
5007,GrandTheftAuto(GTA),Negative,I call bullshit. What is this Grand Theft Auto the video game? Grand theft Auto 2020,2025-10-13 21:10:40,2025-10-13 21:10:50,84
5007,GrandTheftAuto(GTA),Negative,I call that bullshit. What is this Grand Theft Auto the video game? Grand theft Auto 2020,2025-10-13 21:10:40,2025-10-13 21:10:50,89
5007,GrandTheftAuto(GTA),Negative,I call it bullshit. What is Grand Theft Auto video game? Grand Theft Auto 2020,2025-10-13 21:10:40,2025-10-13 21:10:50,78
5007,GrandTheftAuto(GTA),Negative,I call bullshit. What is this Grand Prix Auto the video game? Grand theft Auto 2020,2025-10-13 21:10:40,2025-10-13 21:10:50,83
5007,GrandTheftAuto(GTA),Negative,I call bullshit. What is this Grand Theft Auto... the video adventure game? Grand theft Ultimate Auto 2020,2025-10-13 21:10:40,2025-10-13 21:10:50,106
