ID,Topic,Sentiment,Text,Timestamp,IngestedAt,TextLength
11301,TomClancysRainbowSix,Irrelevant,Great to see @FrankieWard  on the @gwbps  @Rainbow6Game  hope to see more of you in the r6 community,2025-10-13 21:16:10,2025-10-13 21:16:20,102
11301,TomClancysRainbowSix,Irrelevant,Great to see @ FrankieWard at @ gwbps @ Rainbow6Game hope to see more of you in the r6 community,2025-10-13 21:16:10,2025-10-13 21:16:20,96
11301,TomClancysRainbowSix,Irrelevant,Nice to see @ Frankfurt Ward on @ gwbps @ Rainbow6Game hope to see more of you in the r6 community,2025-10-13 21:16:10,2025-10-13 21:16:20,98
11301,TomClancysRainbowSix,Irrelevant,Great to see @FrankieWard  on the @gwbps  @Rainbow6Game  hope to see most of you in the r6<unk>,2025-10-13 21:16:10,2025-10-13 21:16:20,95
11301,TomClancysRainbowSix,Irrelevant,Great to almost see out @FrankieWard on in the @gwbps @Rainbow6Game we hope to then see more of you in the r6 community,2025-10-13 21:16:10,2025-10-13 21:16:20,119
11301,TomClancysRainbowSix,Irrelevant,Great weekend see more on immediate horizon @FrankieWard hope to see more of you in the r6 community,2025-10-13 21:16:10,2025-10-13 21:16:20,100
11302,TomClancysRainbowSix,Negative,@Rainbow6Game  good sever bc i got banned for 60 mins bc of the shit severs and i loss my rank now smh,2025-10-13 21:16:10,2025-10-13 21:16:20,102
11302,TomClancysRainbowSix,Negative,@ Rainbow6Game good sever bc I've cut off the shit for 60 minutes BC and I'm losing my rank now smh,2025-10-13 21:16:10,2025-10-13 21:16:20,99
11302,TomClancysRainbowSix,Negative,@ Rainbow6Game good sever bc i got banned for 60 mins bc of the shit severs and i lose my rank now smh,2025-10-13 21:16:10,2025-10-13 21:16:20,102
11302,TomClancysRainbowSix,Negative,@Rainbow6Game  good sever bc iv got banned for 60 mins bc s the shit severs and i loss my rank now smh,2025-10-13 21:16:10,2025-10-13 21:16:20,102
11302,TomClancysRainbowSix,Negative,i @Rainbow6Game good sever bc i got banned for 60 mins bc Instead of spreading the internet shit all severs and i loss my rank now i smh,2025-10-13 21:16:10,2025-10-13 21:16:20,136
11302,TomClancysRainbowSix,Negative,@Rainbow6Game good sever bc i gotten banned then 15 mins bc were the other severs and i loss my rank now smh,2025-10-13 21:16:10,2025-10-13 21:16:20,108
